snapshot_utc,snapshot_server,label,section,key,value,unit,notes
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.10000000_ok,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.10000000_live_margin,0.3700,USD,OrderCalcMargin at snapshot conditions; rerun during actual HMR.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.10000000_pct_reference_equity,0.0370,percent,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.10000000_notional_proxy,186.8400,USD,Proxy; interpretation depends on symbol calculation mode.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.10000000_effective_leverage_proxy,504.9730,ratio,Derived from notional proxy/live OrderCalcMargin; verify against symbol calculation mode.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,sell_vol_0.10000000_hmr_margin_proxy,0.9342,USD,Informational only. Actual HMR snapshot via OrderCalcMargin is authoritative.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_0.10pct_ok,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_0.10pct_gross_loss,0.0200,USD,OrderCalcProfit; excludes commission, swap, and added slippage stress.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_0.10pct_pct_reference_equity,0.0020,percent,Mechanical feasibility only; not a strategy test.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_0.25pct_ok,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_0.25pct_gross_loss,0.0500,USD,OrderCalcProfit; excludes commission, swap, and added slippage stress.
